event_name,dates,host_club,city_state,source_url,tier
Savannah Elite Cup,Jan 31-Feb 1 2026,Savannah United,Savannah GA,https://www.savannahunited.com/tournaments/,WARM
AFU Spring Friendlies,Jan 31-Feb 1 2026,Atlanta United Soccer (AFU),Atlanta GA,https://www.atlantaunitedsoccer.com/Default.aspx?tabid=707379,COLD
Georgia Spring Cup,Feb 7-8 2026,Lanier Soccer / SincSports,Sugar Hill GA,https://soccer.sincsports.com/TTContent.aspx?tid=LANSOC,COLD
Steamers FC Spring Academy Cup,Feb 7-8 2026,Steamers FC,Gainesville GA,https://www.steamersfc.com/,COLD
Alliance SC Spring Cup,Feb 14-15 2026,Alliance Soccer Club,Marietta GA,https://soccer.sincsports.com/details.aspx?tid=ALLCUPGA,COLD
Rush Cup Spring Cup,Feb 21-22 2026,Rush Union Soccer,Alpharetta GA,https://www.rushunionsoccer.org/tournaments,COLD
14th Atlanta Season Finale,May 9-10 2026,Lazers Soccer,Atlanta GA,https://lazers.soccer/finale,COLD
AFU Select Elite Cup,May 9-10 2026,Atlanta United Soccer (AFU),Atlanta GA,https://www.atlantaunitedsoccer.com/Default.aspx?tabid=315256,COLD
AFU Academy Elite Cup,May 9-10 2026,Atlanta United Soccer (AFU),Atlanta GA,https://www.atlantaunitedsoccer.com/Default.aspx?tabid=315256,COLD
Georgia Express Festival,May 9-10 2026,Georgia Express FC,Atlanta GA,https://georgiaexpressfc.com/,COLD
Albion Cup Atlanta 2026,May 16-17 2026,Albion SC Atlanta,Atlanta GA,https://soccer.sincsports.com/TTApply0.aspx?tid=SAPC,COLD
Savannah United Spring Invitational,May 16-17 2026,Savannah United,Savannah GA,https://www.savannahunited.com/tournaments/,WARM
Rush Union Rec Cup 2026,May 16-17 2026,Rush Union Soccer,Alpharetta GA,https://www.rushunionsoccer.org/tournaments,COLD
Steamers FC Fall Classic,Aug 15-16 2026,Steamers FC,Gainesville GA,https://www.steamersfc.com/,COLD
BVBIA Georgia Summer Invite,Aug 15-16 2026,BVBIA Georgia,Atlanta GA,https://www.bvbia-georgia.com/,COLD
Georgia Express Boys Kickoff,Aug 29-30 2026,Georgia Express FC,Atlanta GA,https://georgiaexpressfc.com/academy/georgia-express-boys-kickoff,COLD
Adidas Savannah Cup,Nov 14-15 2026,Savannah United,Savannah GA,https://www.savannahunited.com/tournaments/,WARM
AFU Fall Rec Cup,Nov 14-15 2026,Atlanta United Soccer (AFU),Atlanta GA,https://schedulesc.sincsports.com/TTPublicAccess.aspx?tid=AFUFREC,COLD
Rush Union Fall Cup 2026,Nov 14-15 2026,Rush Union Soccer,Alpharetta GA,https://www.rushunionsoccer.org/tournaments,COLD
Adidas College Showcase,Nov 21-22 2026,Savannah United,Savannah GA,https://www.savannahunited.com/tournaments/,WARM
Triumph Cup 2026,Nov 21-22 2026,Tucker Youth Soccer Association (TYSA),Tucker GA,https://soccer.sincsports.com/details.aspx?tid=TRIUM,COLD
Savannah Finale,Dec 5-6 2026,Savannah United,Savannah GA,https://www.savannahunited.com/tournaments/,WARM
Savannah Elite Cup 2027,Feb 6-7 2027,Savannah United,Savannah GA,https://www.savannahunited.com/tournaments/,WARM
Jacksonville FC Labor Day Shootout,Sep 4-6 2026,Jacksonville FC,Jacksonville FL,https://jfcsoccer.com/2026-labor-day-tournament,WARM
SportsPlex Labor Day Invitational,Sep 4-5 2026,Pittsgrove Soccer Club,Pittsgrove NJ,https://pittsgrovesoccer.com/tournament/,COLD
South Florida Super Cup,Sep 4-7 2026,Miami Strike Force,Miami FL,https://sfsupercup.com/,COLD
Publix SuperCopa Girls Weekend,Sep 11-13 2026,Coastal Rush,Gulf Shores AL,https://soccer.sincsports.com/details.aspx?tid=PUBSUPG,COLD
SCCL Cup,Sep 5-7 2026,Southeastern Clubs Champions League,GA,https://soccer.sincsports.com/TTContent.aspx?tid=SCCLCUP3,COLD
Columbia Invitational Soccer Tournament,May 29-31 2027,Elite Tournaments (52nd annual),Columbia SC,https://elitetournaments.com/tournaments/columbia-invitational-soccer-tournament/,COLD
Inter Atlanta FC Academy Cup,May 9-10 2026,Inter Atlanta FC,Atlanta GA,https://www.interatlantafc.com/academy-cup-2026,COLD
